"eventName","cabangOlahraga","lokasiLengkap","tahun"
"Alpes Isère Tour","Race stage","Rhône-Alpes",2024
"Antwerp Port Epic","Classic cycle races","Belgium",2024
"Arctic Race of Norway","Race stage","Norway",2024
"Baloise Ladies Tour","Race stage","Netherlands",2024
"Chrono des Nations","Individual time trial","Vendée",2024
"Circuit de Wallonie","Classic cycle races","Wallonia",2024
"Classic Grand Besançon Doubs","Classic cycle races","Doubs",2024
"Classic Var","Classic cycle races","Var (department)",2024
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2024
"Clássica da Arrábida","Classic cycle races","Portugal",2024
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2024
"Czech Tour","Race stage","Czech Republic",2024
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2024
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2024
"Elfstedenrace","Classic cycle races","Friesland, Netherlands",2024
"Elfstedenronde","Classic cycle races","Belgium",2024
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2024
"Figueira Champions Classic","Classic cycle races","Portugal",2024
"Five Rings of Moscow","Race stage","Moscow, Russia",2024
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2024
"Gravel and Tar Classic","Classic cycle races","Manawatū-Whanganui, Manawatū–Whanganui",2024
"HTV Cup (cycling)","Race stage","Vietnam",2024
"International Rhodes Grand Prix","Classic cycle races","Greece",2024
"International Tour of Rhodes","Race stage","Greece, Rhodes",2024
"Itzulia Women","Race stage","Basque Country (autonomous community), Spain",2024
"Japan Cup (cycling)","Classic cycle races","Japan",2024
"Kreiz Breizh Elites","Race stage","Brittany, France",2024
"Mercan'Tour Classic","Classic cycle races","Alpes-Maritimes",2024
"Midden–Brabant Poort Omloop","Classic cycle races","Gilze en Rijen, Netherlands",2024
"Muscat Classic","Classic cycle races","Oman",2024
"Muur Classic Geraardsbergen","Classic cycle races","Belgium, Geraardsbergen",2024
"O Gran Camiño","Road bicycle racing","Galicia (Spain)",2024
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2024
"Oita Urban Classic","Classic cycle races","Ōita (city)",2024
"Okolo Jižních Čech","Race stage","Czech Republic",2024
"Okolo Slovenska","Race stage","Slovakia",2024
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2024
"Princess Anna Vasa Tour","Race stage","Poland",2024
"Ronde de l'Oise","Race stage","Oise",2024
"Rutas de América","Race stage","Uruguay",2024
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2024
"Tour Alsace","Race stage","Alsace, France",2024
"Tour Battle of Warsaw","Race stage","Masovian Voivodeship, Poland",2024
"Tour de Hongrie","Race stage","Hungary",2024
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2024
"Tour de Kyushu","Race stage","Japan, Kyushu",2024
"Tour de Langkawi","Race stage","Peninsular Malaysia",2024
"Tour de Okinawa","Classic cycle races","Japan, Okinawa Prefecture",2024
"Tour de Pologne","Race stage","Poland",2024
"Tour de Pologne Women","Race stage","Poland",2024
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2024
"Tour de Serbie","Race stage","Serbia",2024
"Tour de Taiwan","Race stage","Taiwan",2024
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2024
"Tour du Cameroun","Race stage","Cameroon",2024
"Tour du Jura (France)","Classic cycle races, Race stage","France",2024
"Tour of Austria","Race stage","Austria",2024
"Tour of Belgium","Race stage","Belgium",2024
"Tour of Britain Women","Race stage","Great Britain",2024
"Tour of Bulgaria","Race stage","Bulgaria",2024
"Tour of Galicia","Race stage","Galicia (Spain)",2024
"Tour of Guangxi","Race stage","China, Guangxi",2024
"Tour of Hainan","Race stage","China, Hainan",2024
"Tour of Huangshan","Race stage","Anhui, China",2024
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2024
"Tour of Oman","Race stage","Oman",2024
"Tour of Qinghai Lake","Race stage","China, Qinghai",2024
"Tour of Romania","Race stage","Romania",2024
"Tour of Szeklerland","Race stage","Romania, Székely Land",2024
"Tour of the Alps","Race stage","Tyrol–South Tyrol–Trentino Euroregion",2024
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2024
"Tour of İstanbul","Race stage","Istanbul, Turkey",2024
"Veneto Classic","Classic cycle races","Veneto",2024
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2024
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2024
"Vuelta a Navarra","Race stage","Navarre",2024
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2024
"West Bohemia Tour","Race stage","Czech Republic",2024
"Alpes Isère Tour","Race stage","Rhône-Alpes",2025
"Andorra MoraBanc Clàssica","Classic cycle races","Andorra",2025
"Antwerp Port Epic","Classic cycle races","Belgium",2025
"Arctic Race of Norway","Race stage","Norway",2025
"Baltic Chain Tour","Race stage","Northern Europe",2025
"Classic Grand Besançon Doubs","Classic cycle races","Doubs",2025
"Classic Var","Classic cycle races","Var (department)",2025
"Clássica Aldeias do Xisto","Classic cycle races","Portugal",2025
"Clássica da Arrábida","Classic cycle races","Portugal",2025
"Critérium du Dauphiné","Major one week stage races (cycling)","France, Rhône-Alpes",2025
"Czech Tour","Race stage","Czech Republic",2025
"Dookoła Mazowsza","Race stage","Mazovia, Poland",2025
"Dwars door het Hageland","Classic cycle races","Flemish Brabant",2025
"Elfstedenronde","Classic cycle races","Belgium",2025
"Famenne Ardenne Classic","Classic cycle races","Belgium, Marche-en-Famenne",2025
"Figueira Champions Classic","Classic cycle races","Portugal",2025
"Grand Prix Cycliste de Québec","Classic cycle races","Quebec, Quebec City",2025
"HTV Cup (cycling)","Race stage","Vietnam",2025
"International Rhodes Grand Prix","Classic cycle races","Greece",2025
"International Tour of Rhodes","Race stage","Greece, Rhodes",2025
"Itzulia Women","Race stage","Basque Country (autonomous community), Spain",2025
"Kreiz Breizh Elites","Race stage","Brittany, France",2025
"Mercan'Tour Classic","Classic cycle races","Alpes-Maritimes",2025
"Muscat Classic","Classic cycle races","Oman",2025
"Muur Classic Geraardsbergen","Classic cycle races","Belgium, Geraardsbergen",2025
"O Gran Camiño","Road bicycle racing","Galicia (Spain)",2025
"Oberösterreich Rundfahrt","Race stage","Upper Austria",2025
"Okolo Jižních Čech","Race stage","Czech Republic",2025
"Pointe du Raz Ladies Classic","Classic cycle races","France",2025
"Presidential Cycling Tour of Turkey","Race stage","Turkey",2025
"Settimana Internazionale di Coppi e Bartali","Race stage","Emilia-Romagna",2025
"Tour Alsace","Race stage","Alsace, France",2025
"Tour Battle of Warsaw","Race stage","Masovian Voivodeship, Poland",2025
"Tour de Hongrie","Race stage","Hungary",2025
"Tour de Kumano","Race stage","Japan, Kumano, Mie, Shingū, Wakayama, Taiji, Wakayama",2025
"Tour de Pologne","Race stage","Poland",2025
"Tour de Pologne Women","Race stage","Poland",2025
"Tour de Romandie","Major one week stage races (cycling)","Romandy",2025
"Tour de Taiwan","Race stage","Taiwan",2025
"Tour des Alpes-Maritimes","Race stage","Provence-Alpes-Côte d'Azur, Var (department)",2025
"Tour du Cameroun","Race stage","Cameroon",2025
"Tour du Jura (France)","Classic cycle races, Race stage","France",2025
"Tour of Austria","Race stage","Austria",2025
"Tour of Belgium","Race stage","Belgium",2025
"Tour of Britain Women","Race stage","Great Britain",2025
"Tour of Bulgaria","Race stage","Bulgaria",2025
"Tour of Hainan","Race stage","China, Hainan",2025
"Tour of Małopolska","Race stage","Lesser Poland Voivodeship, Poland",2025
"Tour of Qinghai Lake","Race stage","China, Qinghai",2025
"Tour of Szeklerland","Race stage","Romania, Székely Land",2025
"Tour of the Basque Country","Major one week stage races (cycling)","Basque Country (autonomous community)",2025
"Tour of İstanbul","Race stage","Istanbul, Turkey",2025
"Volta a Catalunya","Major one week stage races (cycling)","Catalonia",2025
"Volta a la Comunitat Valenciana","Race stage","Valencian Community",2025
"Vuelta a Navarra","Race stage","Navarre",2025
"Vuelta a la Independencia Nacional","Race stage","Dominican Republic",2025
"West Bohemia Tour","Race stage","Czech Republic",2025
